num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,kabudachi,growth
2,4.534751275,8.606925568,bp,4.710986316,4.965634224,3.8,0.0,8.329036857687951,0.0,6.24818092498454,0.0,0.0,4.412545734753303,0.0,2.4536252902781417,154.08526417952427,0.08488263600000027
3,4.649050118,8.685680649,bp,3.596901714,3.533239737,3.1,0.0,7.801909187308181,0.0,6.144755734896622,0.0,0.0,4.417384134167479,0.0,2.4594292011225303,167.64884530610922,-0.02122065899999992
4,4.541337313,8.74979935,bp,8.276057041,8.912676813,8.3,0.0,8.352228834143524,0.0,6.018809122699782,0.0,0.0,4.402296684857338,0.0,2.4911211304181036,142.98634876801182,0.2122065906666665
5,4.442832544,8.562818777,bp,1.69,1.92,3.6,0.0,8.803437060042892,0.0,6.2957704309593945,0.0,0.0,4.406876385490126,0.0,0.6482331175419382,149.76896597360115,0.07666666666666666
6,4.289145621,8.931242653,bp,2.51,2.801126998,5.3,0.0,9.90611416382289,0.0,0.0,6.2312137040186215,0.0,2.008024324748942,2.4773124334626564,2.904071795519468,145.01803228404336,0.09704233266666673
7,4.307478628,9.057609198,bp,1.83,2.355493158,3.5,0.0,9.639978377060833,0.0,0.0,6.029350557123149,0.0,2.029103050801764,2.4483358375067437,4.678416438922797,164.33877616909544,0.17516438599999992
8,4.384790974,9.080474258,bp,2.84,3.21492985,4.0,0.0,9.102860471377276,0.0,0.0,5.929914222581596,0.0,2.0394224372138865,2.4468917764164653,5.678101414680089,174.5448827690991,0.12497661666666667
9,4.467092129,9.014438999,bp,5.156620156,5.411268065,6.0,0.0,8.68129434062324,0.0,0.0,5.957344152502888,0.0,2.0359864789034385,2.467222486141193,4.624111523706848,161.38616396591402,0.08488263633333333
10,4.573330983,9.237331407,bp,2.42,2.419155135,4.1,0.0,7.8983660734130625,0.0,0.0,5.57732948011959,0.0,2.0823034931261883,2.417511216766997,6.464935127095264,133.4284622365298,-0.00028162166666663896
11,4.65433204,9.105441976,bp,7.894085177,8.244226052,6.6,0.0,7.66860322779291,0.0,0.0,5.700309201544677,0.0,2.0677126506390318,2.4539056035123124,5.627828086416009,111.45396391757028,0.11671362500000004
12,4.357567182,8.892998692,bp,0.76,0.71,2.1,0.0,9.442677333447945,0.0,5.758924136379152,0.0,0.0,2.0074792253225207,2.49062418861738,2.554913206658782,184.36139939923822,-0.01666666666666668
13,4.905947437,8.729910048,bp,0.54,0.59,1.7,0.0,6.776627375321222,0.0,6.110358422916982,0.0,0.0,4.436445765571622,0.0,2.671217007566176,178.71732306888595,0.016666666666666646
14,4.905947437,8.729910048,bp,0.81,1.33,2.1,0.0,6.776627375321222,0.0,6.110358422916982,0.0,0.0,4.436445765571622,0.0,2.671217007566176,151.71732306888595,0.17333333333333334
15,4.913632476,8.918859208,bp,0.39,0.85,1.5,0.0,6.741169009535261,0.0,5.819058883524319,0.0,0.0,4.4232968834898765,0.0,5.402029562519395,104.69909065320924,0.15333333333333332
20,6.899912072,17.63459592,bp,10.40873328,11.42732491,8.2,0.0,0.0,0.0,0.0,2.48719157321726,11.095718641999943,3.132941681485166,3.720385735254365,2.886395339006208,139.62016025287843,0.33953054333333316
21,6.890765275,17.69562599,bp,4.297183463,4.551831372,5.5,0.0,0.0,0.0,0.0,2.6398490185943913,11.077120032392774,3.134907175455495,3.753708894366087,3.471497861811476,242.30657269946013,0.08488263633333333
22,6.833333726,17.8773298,bp,4.456338407,4.61549335,4.0,0.0,0.0,0.0,0.0,6.4369823908059915,9.171856317819334,2.052224396115194,3.385501017383259,2.0195746889574644,112.62953088750174,0.05305164766666692
